ISO3,Country,BCP sequestration in EEZ (GtC/year),Area.EEZ (km2),Carbon/area (tC/km2),BCP sequestration in MPA (GtC),Area.MPA (km2),Present value of BCP sequestration to 2050 (US$),Present value of BCP sequestration to 2030 (US$),GDP (US$),Annual value of BCP sequestration in EEZ (US$),gdp.ratio,gdp.percentage,Region,Income.group,Lending,Other,Continent,Sovereign.ISO,Territory,Name,Sovereign2,Sovereign3,Territory.ISO,SIDS
ALB,Albania,0.0000779,"12,165",6.405156772,0.00000335,271.4,"532,440,224","166,415,482",18882095518,"25,713,182 USD",0.001361776,0.14,Europe & Central Asia,Upper middle,IBRD,None,Europe,,,,,,,
DZA,Algeria,0.003,"131,193",25.39818984,0.00000123,67.94,"22,768,918,796","7,116,480,726",1.92E+11,"1,099,581,358 USD",0.005729582,0.57,Middle East & North Africa,Lower middle,IBRD,None,Africa,,,,,,,
AGO,Angola,0.012,"495,866",24.29465821,,,"82,319,761,719","25,729,240,940",1.07E+11,"3,975,475,347 USD",0.03725355,3.73,Sub-Saharan Africa,Lower middle,IBRD,None,Africa,AGO,Angola,Angolan Exclusive Economic Zone,,,AGO,
ATG,Antigua & B.,0.00021676,"111,568",1.94,0.00000143,602.46,"1,481,183,871","462,947,607",1757603704,"71,530,940 USD",0.040697991,4.07,Latin America & Caribbean,High,IBRD,None,Americas,,,,,,,1
ARG,Argentina,0.010463247,"1,072,053",9.760009137,0.001434477,141277.63,"71,498,257,999","22,346,953,738",6.33E+11,"3,452,871,535 USD",0.005456756,0.55,Latin America & Caribbean,Upper middle,IBRD,None,Americas,,,,,,,
AUS,Australia,0.055272322,"16,680,301",3.31,0.012328288,2498718.38,"378,000,000,000","118,000,000,000",1.68E+12,"18,239,866,354 USD",0.010886743,1.09,East Asia & Pacific,High,None,None,Oceania,,,,,,,
BHS,Bahamas,0.00101526,"619,785",1.64,0.000149151,47273.74,"6,937,554,462","2,168,349,453",12897400000,"335,035,916 USD",0.025977012,2.6,Latin America & Caribbean,High,None,None,Americas,,,,,,,1
BGD,Bangladesh,0.001770446,"112,166",15.78416299,,,"12,097,949,560","3,781,243,442",4.60E+11,"584,247,321 USD",0.001269548,0.13,South Asia,Lower middle,IDA,None,Asia,BGD,Bangladesh,Bangladeshi Exclusive Economic Zone,,,BGD,
BRB,Barbados,0.000604947,"185,007",3.27,5.96E-08,12.3,"4,133,768,661","1,292,019,409",5637914515,"199,632,446 USD",0.035408917,3.54,Latin America & Caribbean,High,None,None,Americas,,,,,,,1
BLZ,Belize,0.0000329,"34,312",0.96,5.77E-08,3567.26,"224,975,874","70,316,755",2824081836,"10,864,779 USD",0.00384719,0.38,Latin America & Caribbean,Upper middle,IBRD,None,Americas,,,,,,,1
