economy,YR2023_2015US$
ZWE,10731107193.0785
ZMB,22332092742.977
UGA,14642067313.2755
TGO,2548283001.1150002
TZA,26121455529.1915
SDN,17048329624.520498
ZAF,125168886492.85649
SOM,2282239463.9605
SLE,1798351452.9209998
SEN,30162333817.608498
STP,342976152.22150004
RWA,8594907501.428
NGA,77373684475.309
NER,4237811060.8630004
MOZ,50470026201.365
MUS,14535515568.1795
MRT,3475685433.226
MLI,4875151588.761
MWI,2721357106.8205
MDG,4871508029.0515
LBR,1568933023.071
LSO,1340588590.6115
KEN,32397069670.920998
GNB,851667801.516
GIN,3898922758.4445
GHA,33025195621.8555
GMB,1000411697.0015
GAB,5729015342.809
ETH,25134155490.766
SWZ,936719142.2279999
ERI,538148250.0205001
CIV,27593650912.7935
COG,5873262728.056
COD,8355503187.596001
COM,309052047.451
TCD,2426601481.3105
CAF,770761440.551
CMR,11550952338.9305
CPV,1850841876.9229999
BDI,787330246.3165
BFA,7850029098.472
BWA,1569505737.6075
BEN,9424478544.143
AGO,43058970650.152504
LKA,46587994907.751
PAK,98789765095.487
NPL,7526214694.42
MDV,3020167766.9645
IND,488324234282.927
BTN,2468148408.7755
BGD,76592831348.9265
AFG,2588228316.5025
YEM,5498681798.2215
TUN,31165416031.301
SYR,3681034753.6755004
MAR,52296798825.4375
LBN,50053828102.414
JOR,33695529316.798496
IRQ,15350201246.447
IRN,7475158764.000501
EGY,126887036880.218
DJI,2588640346.2765
DZA,5523025799.7245
SUR,3055909888.8585
VCT,474524031.5805
LCA,820129468.131
PER,68001012912.709
PRY,19902793661.54
NIC,11448376616.284
MEX,449917841014.59
JAM,11588811231.296999
HND,9679534332.2475
HTI,1991395422.9334998
GUY,2229193156.5615
GTM,19150458164.958
GRD,548992148.845
SLV,17169835108.449501
ECU,45725533038.4675
DOM,39453754599.5685
DMA,451592618.92050004
CRI,29463964312.3475
COL,149116408496.23102
BRA,458372194823.915
BOL,12311737700.156
BLZ,1139988999.6995
ARG,200956281075.8405
UZB,44684185475.818
UKR,133367338666.3615
TKM,2957899449.476
TUR,377381075966.62
TJK,5188938214.2585
SRB,36995099662.416
MKD,9523789279.482
MNE,6505456412.2715
MDA,8032201706.082
KGZ,7636864478.799
XKX,3202913391.564
KAZ,123181664814.0375
GEO,18472995944.99
BIH,10577693977.0655
BLR,27711930772.4725
AZE,10972173049.3025
ARM,11958318306.017
ALB,8579785823.0375
VNM,107096414267.2795
VUT,355351113.885
TON,148322391.443
TLS,232074948.6145
THA,146187785724.337
SLB,398502310.2725
WSM,326533634.70199996
PHL,91658576316.029
PNG,11567070522.191
MMR,9182387250.4675
MNG,25912572024.2215
LAO,15166926309.996
IDN,306571090750.123
FJI,2527499695.4290004
CHN,1827259180805.1426
KHM,17012872287.2675
UMC,4791708290926.429
SSA,652175537428.277
SAS,725897584821.754
MIC,6496421510594.484
MNA,334215351864.5145
LMC,1704713219668.0557
LIC,175141518929.102
LMY,6671563029523.587
LDC,442618885360.628
LAC,1550741069667.5693
IDA,857869519893.5831
IDX,555920059463.421
ECA,846930325390.0709
EAP,2561603160351.4004
