World,ISO,Continent, Groups
Afghanistan,AFG,Asia,LDCs
Albania,ALB,Europe,Developed economies
Algeria,DZA,Africa,Developing economies
American Samoa,ASM,Oceania,SIDS
Andorra,AND,Europe,Developed economies
Angola,AGO,Africa,LDCs
Antigua and Barbuda,ATG,Caribbean,SIDS
Azerbaijan,AZE,Asia,Developing economies
Argentina,ARG,Americas,Developing economies
Australia,AUS,Oceania,Developed economies
Austria,AUT,Europe,Developed economies
Bahamas,BHS,Caribbean,SIDS
Bahrain,BHR,Asia,Developing economies
Bangladesh,BGD,Asia,LDCs
Armenia,ARM,Asia,Developing economies
Barbados,BRB,Caribbean,SIDS
Belgium,BEL,Europe,Developed economies
Bermuda,BMU,Americas,SIDS
Bhutan,BTN,Asia,Developing economies
Bolivia (Plurinational State of),BOL,Americas,Developing economies
Bosnia and Herzegovina,BIH,Europe,Developed economies
Botswana,BWA,Africa,Developing economies
Bouvet Island,BVT,Americas,Developing economies
Brazil,BRA,Americas,Developing economies
Belize,BLZ,Americas,SIDS
British Indian Ocean Territory,IOT,Africa,Developing economies
Solomon Islands,SLB,Oceania,SIDS
British Virgin Islands,VGB,Caribbean,SIDS
Brunei Darussalam,BRN,Asia,Developing economies
Bulgaria,BGR,Europe,Developed economies
Myanmar,MMR,Asia,LDCs
Burundi,BDI,Africa,LDCs
Belarus,BLR,Europe,Developed economies
Cambodia,KHM,Asia,LDCs
Cameroon,CMR,Africa,Developing economies
Canada,CAN,Americas,Developed economies
Cabo Verde,CPV,Africa,SIDS
Cayman Islands,CYM,Caribbean,SIDS
Central African Republic,CAF,Africa,LDCs
Sri Lanka,LKA,Asia,Developing economies
Chad,TCD,Africa,LDCs
Chile,CHL,Americas,Developing economies
China,CHN,Asia,Developing economies
"China, Taiwan Province of",TWN,Asia,Developing economies
Christmas Island,CXR,Oceania,Developed economies
Cocos (Keeling) Islands,CCK,Oceania,Developed economies
Colombia,COL,Americas,Developing economies
Comoros,COM,Africa,SIDS
Mayotte,MYT,Africa,Developing economies
Congo,COG,Africa,Developing economies
Dem. Rep. of the Congo,COD,Africa,LDCs
Cook Islands,COK,Oceania,SIDS
Costa Rica,CRI,Americas,Developing economies
Croatia,HRV,Europe,Developed economies
Cuba,CUB,Caribbean,SIDS
Cyprus,CYP,Asia,Developed economies
Czechia,CZE,Europe,Developed economies
Benin,BEN,Africa,LDCs
Denmark,DNK,Europe,Developed economies
Dominica,DMA,Caribbean,SIDS
Dominican Republic,DOM,Caribbean,SIDS
Ecuador,ECU,Americas,Developing economies
El Salvador,SLV,Americas,Developing economies
Equatorial Guinea,GNQ,Africa,Developing economies
Ethiopia,ETH,Africa,LDCs
Eritrea,ERI,Africa,LDCs
Estonia,EST,Europe,Developed economies
Faroe Islands,FRO,Europe,Developed economies
Falkland Islands (Malvinas),FLK,Americas,Developing economies
South Georgia and the South Sandwich Islands,SGS,Americas,Developing economies
Fiji,FJI,Oceania,SIDS
Finland,FIN,Europe,Developed economies
Aland Islands,,Europe,Developed economies
France,FRA,Europe,Developed economies
French Guiana,GUF,Americas,Developing economies
French Polynesia,PYF,Oceania,SIDS
French Southern Territories,ATF,Africa,Developing economies
Djibouti,DJI,Africa,LDCs
Gabon,GAB,Africa,Developing economies
