run,dmgfuncpar,climate,SSP,RCP,prtp,eta,dr,gscc,n_iso3,scenario_id,discount_id,log_gscc,draw,systematic_centered,log_gscc_adj,gscc_adj,fitted_log,residual
bhm_lr,bootstrap,uncertain,SSP4,rcp60,,,3.0,712.1507239579333,169,ssp4_rcp60,fixed_dr3p0,6.568289579960761,0,0.16762561201018372,6.400663967950577,602.2447763805367,6.675517964828285,-0.10722838486752373
bhm_sr,bootstrap,uncertain,SSP2,rcp85,1.0,0p7,,1326.3451361940163,169,ssp2_rcp85,ramsey_prtp1p0_eta0p7,7.190182420583775,1,0.7290410640259296,6.461141356557845,639.7908695064957,7.236933416844031,-0.04675099626025592
bhm_richpoor_sr,estimates,uncertain,SSP3,rcp45,1.0,0p7,,851.4509053499767,169,ssp3_rcp45,ramsey_prtp1p0_eta0p7,6.746941841775797,2,0.19551373377634484,6.5514281079994525,700.2434834052513,6.703406086594446,0.043535755181351554
bhm_richpoor_lr,estimates,uncertain,SSP5,rcp60,2.0,1p5,,253.56208376520593,169,ssp5_rcp60,ramsey_prtp2p0_eta1p5,5.535608699418189,3,-0.262186058064359,5.797794757482548,329.5719718255902,6.245706294753742,-0.7100975953355526
bhm_richpoor_lr,estimates,uncertain,SSP5,rcp45,1.0,1p5,,483.5548311945279,169,ssp5_rcp45,ramsey_prtp1p0_eta1p5,6.18116471320918,4,0.32352525612696725,5.857639457082213,349.89722100326463,6.831417608945069,-0.6502528957358891
bhm_sr,estimates,expected,SSP4,rcp60,2.0,1p5,,534.9336676784214,169,ssp4_rcp60,ramsey_prtp2p0_eta1p5,6.282142753561341,5,-0.1401389239196903,6.422281677481031,615.405670686714,6.367753428898411,-0.08561067533706979
bhm_lr,bootstrap,uncertain,SSP4,rcp45,,,5.0,297.75689801131756,169,ssp4_rcp45,fixed_dr5p0,5.696277375091548,6,-0.5029414681502626,6.199218843241811,492.3642771497578,6.0049508846678386,-0.30867350957629025
bhm_sr,bootstrap,expected,SSP1,rcp60,2.0,0p7,,543.1819292628062,169,ssp1_rcp60,ramsey_prtp2p0_eta0p7,6.297444308501884,7,0.21403206226788718,6.083412246233997,438.52299309675095,6.721924415085988,-0.4244801065841042
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,,,5.0,261.21265008941697,169,ssp1_rcp45,fixed_dr5p0,5.565334826893474,8,-0.5738406235252478,6.139175450418722,463.6710933892224,5.934051729292853,-0.36871690239937926
bhm_lr,bootstrap,uncertain,SSP4,rcp85,,,5.0,265.23581486012876,169,ssp4_rcp85,fixed_dr5p0,5.58061929768567,9,-0.49419746081708427,6.074816758502754,434.7698273425325,6.013694892001016,-0.4330755943153459
bhm_richpoor_sr,bootstrap,uncertain,SSP2,rcp60,,,5.0,124.70583983940169,169,ssp2_rcp60,fixed_dr5p0,4.825957682699326,10,-1.027663537783977,5.853621220483303,348.4940721639451,5.480228815034124,-0.6542711323347978
djo_richpoor,estimates,uncertain,SSP4,rcp45,1.0,0p7,,580.2894408750956,169,ssp4_rcp45,ramsey_prtp1p0_eta0p7,6.363527015054959,11,0.33588631486591725,6.027640700189043,414.7353890787579,6.843778667684019,-0.4802516526290592
bhm_sr,bootstrap,expected,SSP4,rcp60,,,3.0,297.22146563657765,169,ssp4_rcp60,fixed_dr3p0,5.6944775364688525,12,0.13205862740882307,5.562418909060029,260.45208487643094,6.639950980226924,-0.9454734437580719
bhm_sr,bootstrap,uncertain,SSP1,rcp60,,,5.0,223.01992495867015,169,ssp1_rcp60,fixed_dr5p0,5.407261117059131,13,-0.6002183947716796,6.007479511830811,406.4575566416033,5.907673958046422,-0.5004128409872903
bhm_sr,bootstrap,expected,SSP3,rcp45,2.0,0p7,,672.1130954857115,169,ssp3_rcp45,ramsey_prtp2p0_eta0p7,6.51042662321656,14,0.2741225403052774,6.236304082911283,510.96652686995157,6.782014893123378,-0.27158826990681817
bhm_sr,bootstrap,uncertain,SSP3,rcp85,1.0,0p7,,1376.7996860456285,169,ssp3_rcp85,ramsey_prtp1p0_eta0p7,7.227517016865367,15,0.7482419805651304,6.479275036300236,651.4984622893862,7.2561343333832315,-0.02861731651786492
bhm_richpoor_sr,bootstrap,uncertain,SSP1,rcp60,,,3.0,440.26806934755496,169,ssp1_rcp60,fixed_dr3p0,6.087383789912946,16,-0.3780244643450942,6.4654082542580396,642.526624138082,6.129867888473007,-0.04248409856006141
bhm_lr,estimates,expected,SSP3,rcp45,1.0,0p7,,2161.220757637069,169,ssp3_rcp45,ramsey_prtp1p0_eta0p7,7.678428506605013,17,0.8314460231100682,6.846982483494945,941.0370233472179,7.339338375928169,0.3390901306768441
bhm_sr,estimates,expected,SSP3,rcp45,1.0,0p7,,1514.9299249805035,169,ssp3_rcp45,ramsey_prtp1p0_eta0p7,7.323124462735432,18,0.7235012394545963,6.599623223280836,734.8182746590569,7.231393592272697,0.09173087046273487
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp60,2.0,0p7,,306.04240477313135,169,ssp1_rcp60,ramsey_prtp2p0_eta0p7,5.723723670041352,19,-0.24157764435625306,5.965301314397605,389.67042369243603,6.266314708461848,-0.5425910384204959
bhm_richpoor_sr,bootstrap,expected,SSP5,rcp60,2.0,1p5,,111.40690496611842,169,ssp5_rcp60,ramsey_prtp2p0_eta1p5,4.713189309110151,20,-0.5005736825998572,5.2137629917100075,183.78433756008377,6.007318670218243,-1.2941293611080926
bhm_richpoor_lr,estimates,expected,SSP5,rcp45,1.0,0p7,,1324.0972100347774,169,ssp5_rcp45,ramsey_prtp1p0_eta0p7,7.188486155278147,21,0.6589834159846678,6.529502739293479,685.0574746174648,7.166875768802769,0.02161038647537783
bhm_lr,estimates,uncertain,SSP4,rcp45,2.0,0p7,,915.8864849708332,169,ssp4_rcp45,ramsey_prtp2p0_eta0p7,6.819892432290499,22,0.16966790529900203,6.650224526991496,772.9578559552402,6.677560258117103,0.1423321741733954
bhm_sr,estimates,uncertain,SSP5,rcp45,1.0,1p5,,514.9518244209775,169,ssp5_rcp45,ramsey_prtp1p0_eta1p5,6.244073351474511,23,0.39910625462530724,5.844967096849204,345.4911738458696,6.906998607443408,-0.6629252559688972
bhm_sr,bootstrap,uncertain,SSP3,rcp45,,,5.0,119.7179638131057,169,ssp3_rcp45,fixed_dr5p0,4.7851386749306215,24,-0.5401279167342894,5.325266591664911,205.46312792153543,5.967764436083812,-1.18262576115319
bhm_richpoor_sr,estimates,uncertain,SSP2,rcp45,2.0,0p7,,312.4066834927046,169,ssp2_rcp45,ramsey_prtp2p0_eta0p7,5.744305811759424,25,-0.34772751277801073,6.092033324537435,442.3198772596483,6.16016484004009,-0.415859028280666
