run,dmgfuncpar,climate,SSP,RCP,prtp,eta,dr,gscc,n_iso3,scenario_id,discount_id,log_gscc
bhm_lr,bootstrap,expected,SSP1,rcp45,1.0,0p7,,2082.3838338042747,169,ssp1_rcp45,ramsey_prtp1p0_eta0p7,7.641268590398337
bhm_lr,bootstrap,expected,SSP1,rcp45,1.0,1p5,,1373.071413657532,169,ssp1_rcp45,ramsey_prtp1p0_eta1p5,7.224805417275896
bhm_lr,bootstrap,expected,SSP1,rcp45,2.0,0p7,,1033.8030001530176,169,ssp1_rcp45,ramsey_prtp2p0_eta0p7,6.940999514821007
bhm_lr,bootstrap,expected,SSP1,rcp45,2.0,1p5,,675.610234853325,169,ssp1_rcp45,ramsey_prtp2p0_eta1p5,6.515616334098536
bhm_lr,bootstrap,expected,SSP1,rcp45,,,3.0,1073.8200897868803,169,ssp1_rcp45,fixed_dr3p0,6.97897774687183
bhm_lr,bootstrap,expected,SSP1,rcp45,,,5.0,422.203006589722,169,ssp1_rcp45,fixed_dr5p0,6.045486256634061
bhm_lr,bootstrap,expected,SSP1,rcp60,1.0,0p7,,2087.601374477247,169,ssp1_rcp60,ramsey_prtp1p0_eta0p7,7.643771018169716
bhm_lr,bootstrap,expected,SSP1,rcp60,1.0,1p5,,1383.8934250636783,169,ssp1_rcp60,ramsey_prtp1p0_eta1p5,7.232656128200784
bhm_lr,bootstrap,expected,SSP1,rcp60,2.0,0p7,,1036.093008938414,169,ssp1_rcp60,ramsey_prtp2p0_eta0p7,6.943212195757298
bhm_lr,bootstrap,expected,SSP1,rcp60,2.0,1p5,,677.3691315662712,169,ssp1_rcp60,ramsey_prtp2p0_eta1p5,6.518216370355517
bhm_lr,bootstrap,expected,SSP1,rcp60,,,3.0,1090.8769674285913,169,ssp1_rcp60,fixed_dr3p0,6.994737209014418
bhm_lr,bootstrap,expected,SSP1,rcp60,,,5.0,431.87656081386876,169,ssp1_rcp60,fixed_dr5p0,6.068139808556199
bhm_lr,bootstrap,expected,SSP2,rcp45,1.0,0p7,,2229.1595036910503,169,ssp2_rcp45,ramsey_prtp1p0_eta0p7,7.709379889233517
