ISO,Groups,Population,EEZ (km²),Area_EEZ_KM2_per_capita,Total BCEs Area (km²),uptake_total_mean,BCP Seq (tC),Total BCseq,cBCW,oBCW,Total BCW,Total BCW_per_capita
BHS,SIDS,399440,633060.0463,1.5848689322551572,81254.9220880028,17725376.0,1015260.0,18740636.0,36404948992.0,2083077100.0,38488027136.0,96354.964790707
AUS,Developed economies,26451124,14559566.31,0.5504328024018942,64289.377824191004,13058536.0,55272322.0,68330848.0,26794385408.0,113405940000.0,140200329216.0,5300.35431447072
SAU,Developing economies,33264292,2149313.361,0.0646132303372036,21052.090067374003,4603089.0,,4603089.0,9454710784.0,,9454710784.0,284.2300321317526
MEX,Developing economies,129739759,5138716.724,0.0396078793702707,22393.7555124469,4428817.5,30789336.0,35218156.0,9072951296.0,63172555000.0,72245493760.0,556.8492982941335
IDN,Developing economies,281190067,7906619.381,0.0281184163628368,17597.0823649314,3849586.25,30885166.0,34734752.0,7907155456.0,63369175000.0,71276322816.0,253.48094111731197
GNB,SIDS,2153339,140611.56,0.0652993142278108,17994.6265160943,3846933.75,1000000.0,4846934.0,7895523840.0,2051767300.0,9947290624.0,4619.472653400138
PHL,Developing economies,114891199,2260600.759,0.0196760132949783,17766.2622062372,3792128.5,5609099.0,9401227.0,7782616576.0,11508565000.0,19291183104.0,167.9082755851473
NGA,Developing economies,227882945,1087016.427,0.004770064855007,17221.8214533984,3486374.0,2000000.0,5486374.0,7141710336.0,4103534600.0,11245244416.0,49.34658193047312
USA,Developed economies,343477335,10392443.11,0.0302565614991743,19461.7891107282,3309292.0,79645600.0,82954896.0,6785544192.0,163414260000.0,170199777280.0,495.51967462423687
GIN,LDCs,14405468,346871.3948,0.0240791479179989,14992.6839843325,3206665.5,1000000.0,4206665.5,6581530112.0,2051767300.0,8633296896.0,599.3069365049438
