ISO,country_name,Continent,Groups,E,S_BCE,S_ALL,NetCO2_BCE,NetCO2_ALL,Delta_NetCO2,cBCW,Total BCW,Coverage_BCE,Coverage_ALL,Delta_Coverage,Debt (2015 US$),Debt_to_GDP,Relief_BCE,Relief_ALL,Delta_Relief,Quadrant_BCE,Quadrant_ALL,switch_sink_status,switch_quadrant
AE,"Abu musa, Greater and Lesser Tunb",Asia,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
AFG,Afghanistan,Asia,LDCs,11020218.0,,,,,,,,,,,2588228316.5025,0.1688867098908589,,,,Source + low debt stress,Source + low debt stress,False,False
US-AK,Alaska,Americas,,,1119232.5833333333,,,,,626366528.0,626366528.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
ALB,Albania,Europe,Developed economies,5144279.0,64001.236979166664,349634.5703125,-5080277.763020833,-4794644.4296875,285633.333333333,35835124.0,195667792.0,0.012448807237145124,0.0679732718414985,0.055524464604353375,8579785823.0375,0.5792348901784578,0.004174155040831872,0.02280313589242147,0.018628980851589597,Sink + high debt stress,Sink + high debt stress,False,False
DZA,Algeria,Africa,Developing economies,178132770.0,32472.791341145832,11032472.791341146,-178100297.20865884,-167100297.20865884,11000000.0,18190912.0,6173492736.0,0.00018249627179853069,0.061934190451545856,0.061751694179747324,5523025799.7245,0.025671300900297685,0.0032900250516045377,1.1177699965283314,1.1144799714767268,Sink + low debt stress,Sink + low debt stress,False,False
ES-ALH,Alhucemas Islands,Africa,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
ASM,American Samoa,Oceania,SIDS,,370062.515625,,,,,207304320.0,207304320.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
ATF-1,Amsterdam and Saint Paul Islands,Africa,Developing economies,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
IN-AN,Andaman and Nicobar,Asia,,,1701760.3854166665,,,,,952010432.0,952010432.0,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
AND,Andorra,Europe,Developed economies,423874.0,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
AGO,Angola,Africa,LDCs,20780540.0,666197.5260416666,44666197.526041664,-20114342.473958332,23885657.526041664,44000000.0,372548032.0,24993755136.0,0.03203825028434891,2.149403872284847,2.117365622000498,43058970650.1525,0.5029630108878967,0.00865757030386155,0.58045959369667,0.5718020233928085,Sink + high debt stress,Source + high debt stress,True,True
AIA,Anguilla,Caribbean,SIDS,144530.0,12063.939371744791,,-132466.06062825522,,,6758008.0,6758008.0,0.08356107990717028,0.08356107990717028,0.0,,,,,,Sink + low debt stress,Source + low debt stress,True,True
ATA,Antarctica,,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
ATG,Antigua and Barbuda,Caribbean,SIDS,644826.0,206144.56901041666,1000931.2356770833,-438681.4309895834,356105.23567708326,794786.6666666666,115459880.0,560201024.0,0.3199866845275632,1.5525468096684827,1.2325601251409195,,,,,,Sink + low debt stress,Source + low debt stress,True,True
ARG,Argentina,Americas,Developing economies,195805970.0,731324.515625,39096563.515625,-195074645.484375,-156709406.484375,38365239.0,409229376.0,21877377024.0,0.003734945057014785,0.19966993077309686,0.1959349857160821,200956281075.8405,0.3411612938165275,0.0020364099110990485,0.10886634829285154,0.10682993838175249,Sink + low debt stress,Sink + low debt stress,False,False
ARM,Armenia,Asia,Developing economies,7608323.0,,,,,,,,,,,11958318306.017,0.7733471792234732,,,,Source + high debt stress,Source + high debt stress,False,False
ABW,Aruba,Caribbean,SIDS,867180.0,26834.109700520832,,-840345.8902994791,,,15031181.0,15031181.0,0.030976132726293994,0.030976132726293994,0.0,,,,,,Sink + low debt stress,Source + low debt stress,True,True
SHN-1,Ascension,Africa,Developing economies,11118.0,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
AUS,Australia,Oceania,Developed economies,382972000.0,47881295.0,250546475.66666666,-335090705.0,-132425524.33333334,202665180.66666666,26794385408.0,140200329216.0,0.1250316959968424,0.654222318380117,0.5291906223832746,,,,,,Sink + low debt stress,Sink + low debt stress,False,False
AUT,Austria,Europe,Developed economies,58578050.0,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
AZE,Azerbaijan,Asia,Developing economies,43936972.0,,,,,,,,,,,10972173049.3025,0.19120771699794942,,,,Source + low debt stress,Source + low debt stress,False,False
PT-20,Azores,Europe,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
BHS,Bahamas,Caribbean,SIDS,2505352.0,64993052.666666664,68715672.66666666,62487700.666666664,66210320.66666666,3722619.9999999925,36404948992.0,38488027136.0,25.967791739126,27.45365948286612,1.485867743740119,,,,,,Source + low debt stress,Source + low debt stress,False,False
BHR,Bahrain,Asia,Developing economies,36526764.0,430136.0078125,,-36096627.9921875,,,240956208.0,240956208.0,0.011788818093724557,0.011788818093724557,0.0,,,,,,Sink + low debt stress,Source + low debt stress,True,True
CO-BN,Bajo Nuevo Bank,Caribbean,,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
BGD,Bangladesh,Asia,LDCs,113426860.0,3044888.9166666665,9536524.25,-110381971.08333333,-103890335.75,6491635.333333328,1695354112.0,5327897088.0,0.026710859283433593,0.08394276357185229,0.0572319042884187,76592831348.9265,0.2369241439072075,0.022245387957605604,0.06967205947880818,0.04742667152120258,Sink + low debt stress,Sink + low debt stress,False,False
BRB,Barbados,Caribbean,SIDS,1191738.0,71967.91536458333,2290106.9153645835,-1119770.0846354167,1098368.9153645835,2218139.0,40315404.0,1281525888.0,0.060455187680525095,1.9217192534270917,1.8612640657465667,,,,,,Sink + low debt stress,Source + low debt stress,True,True
ATF-2,Bassas da India,Africa,Developing economies,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
BLR,Belarus,Europe,Developed economies,56490772.0,,,,,,,,,,,27711930772.4725,0.46573689731770657,,,,Source + high debt stress,Source + high debt stress,False,False
BEL,Belgium,Europe,Developed economies,83368480.0,3001.8241780598955,,-83365478.17582195,,,1679739.25,1679739.25,3.600670098054172e-05,3.600670098054172e-05,0.0,,,,,,Sink + low debt stress,Source + low debt stress,True,True
BLZ-1,Belize,Americas,SIDS,667898.0,4116629.9166666665,4237263.25,3448731.9166666665,3569365.25,120633.33333333349,2304891904.0,2372394752.0,6.1671393911056995,6.3477550079119185,0.18061561680621896,1139988999.6995,0.43456774196624615,2.020681289387475,2.0798951425823446,0.0592138531948696,Source + high debt stress,Source + high debt stress,False,False
BEN,Benin,Africa,LDCs,5592317.0,1096656.2291666665,4763322.895833333,-4495660.770833334,-828994.104166667,3666666.666666667,614268416.0,2666035712.0,0.19629523138915464,0.8519567071128554,0.6556614757237008,9424478544.143,0.5285426750707973,0.06511331923969126,0.2828194981337127,0.21770617889402144,Sink + high debt stress,Sink + high debt stress,False,False
BMU,Bermuda,Americas,SIDS,522532.0,142.25562795003253,,-522389.74437205,,,79206.0703125,79206.0703125,0.0002708874719489017,0.0002708874719489017,0.0,,,,,,Sink + low debt stress,Source + low debt stress,True,True
BTN,Bhutan,Asia,Developing economies,1713060.0,,,,,,,,,,,2468148408.7755,0.9454463131035445,,,,Source + high debt stress,Source + high debt stress,False,False
BOL,Bolivia,Americas,Developing economies,23359406.0,,,,,,,,,,,12311737700.156,0.3136264224342655,,,,Source + low debt stress,Source + low debt stress,False,False
BES-1,Bonaire,Caribbean,Developing economies,114883.0,3343.5336100260415,,-111539.46638997395,,,1868759.0,1868759.0,0.02906972171969959,0.02906972171969959,0.0,,,,,,Sink + low debt stress,Source + low debt stress,True,True
BIH,Bosnia and Herzegovina,Europe,Developed economies,20179128.0,,,,,,,22569.44140625,,1.998765112242106e-06,,10577693977.0655,0.5130600908122429,,,,Source + high debt stress,Source + high debt stress,False,False
BWA,Botswana,Africa,Developing economies,6713559.0,,,,,,,,,,,1569505737.6075,0.08745534715108834,,,,Source + low debt stress,Source + low debt stress,False,False
BVT,Bouvet,Americas,Developing economies,,,,,,,,,,,,,,,,,Source + low debt stress,Source + low debt stress,False,False
