country_name,TERRITORY1,ISO,SOVEREIGN1,Continent,Groups,Population,Area_EEZ_KM2,GDP,CO2_emissions_2023,Debt (2015 US$),saltmarshes_area_km2,seagrasses_area_km2,mangroves_area_km2,uptake_total_partial,uptake_salt_mean,uptake_salt_se,uptake_seag_mean,uptake_seag_se,uptake_mang_mean,uptake_mang_se,uptake_total_mean,uptake_total_se,BCP Seq (tC),cBCW,cBCW_se,oBCW,oBCW_se,Total BCseq,Total BCseq_se,Total BCW,Total BCW_se,Area_EEZ_KM2_per_capita,GDP_per_capita,CO2_emissions_2023_per_capita,Debt (2015 US$)_per_capita,Total BCW_per_capita
"Abu musa, Greater and Lesser Tunb","Abu musa, Greater and Lesser Tunb",AE,United Arab Emirates,Asia,,,6199.306012,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,Afghanistan,AFG,Afghanistan,Asia,LDCs,41454761.0,641860.3931,15325233810.138836,11020218.0,2588228316.5025,,,,0.0,,,,,,,,,,,,,,,,,,0.015483393888098884,369.6857354970358,0.2658372098683671,62.43500756167669,
Alaska,Alaska,US-AK,United States,Americas,,,5193058.289,,,,1620.9523537258,150.5064595777,,1.0,272320.0,0.0,32925.2109375,208.3724712108054,,,305245.25,208.3724712108054,,626366528.0,2179778.474854257,,,305245.25,208.3724712108054,626366528.0,2179778.474854257,,,,,
Albania,Albania,ALB,Albania,Europe,Developed economies,2811655.0,40953.54483,14812273860.771984,5144279.0,8579785823.0375,46.5780205364,44.0192567338,,1.0,7825.109,6.905512299990404e-06,9629.7744140625,60.943575097357744,,,17454.880859375,60.943575097357744,77900.0,35835120.0,183495.8676349816,159832690.0,542488.9823575023,95354.8828125,60.943575097357744,195667776.0,678937.5363326485,0.014565636548580818,5268.169053732405,1.8296266789488753,3051.507323280239,69.59167323160203
Algeria,Algeria,DZA,Algeria,Africa,Developing economies,46164219.0,2444283.56,215143978140.21393,178132770.0,5523025799.7245,,40.4831979324,,1.0,,,8856.216796875,56.047987005800394,,,8856.216796875,56.047987005800394,3000000.0,18190912.0,140324.93323779182,6155302000.0,20891744.484315105,3008856.25,56.04798408244479,6173492736.0,20954733.381100386,0.05294757743004382,4660.4054568802285,3.8586761318327514,119.63867080096166,133.728954366151
Alhucemas Islands,Alhucemas Islands,ES-ALH,Spain,Africa,,,14.10069656,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
American Samoa,American Samoa,ASM,United States,Oceania,SIDS,47521.0,406038.4238,662725190.8396946,,,0.0012361478,461.078688911,0.318919196,0.0,0.20767283,0.0,100866.8515625,638.3520652613894,59.08498,0.5182810731287977,100926.140625,638.3511781964338,,207304320.0,1598405.6789637257,,,100926.140625,638.3511781964338,207304320.0,1598405.6789637257,8.544399819027378,13945.943705723672,,,4362.372845689274
Amsterdam and Saint Paul Islands,Amsterdam and Saint Paul Islands,ATF-1,France,Africa,Developing economies,,512251.8623,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar,Andaman and Nicobar,IN-AN,India,Asia,,,671991.0163,,,,,1646.1551333168,561.3487158309,1.0,,,360117.4375,2279.061218197751,103999.0,912.2574582915892,464116.46875,2453.1168474980586,,952010560.0,6395900.683210396,,,464116.46875,2453.1168474980586,952010560.0,6395900.683210396,,,,,
Andorra,Andorra,AND,Andorra,Europe,Developed economies,80856.0,467.9036281,3216475797.7424917,423874.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.005786875780399723,39780.29828018319,5.242332047096072,,
