ISO,country_name,Continent,Groups,E,S_BCE,S_ALL,NetCO2_BCE,NetCO2_ALL,Delta_NetCO2,cBCW,Total BCW,Coverage_BCE,Coverage_ALL,Delta_Coverage,Debt (2015 US$),Debt_to_GDP,Relief_BCE,Relief_ALL,Delta_Relief,Quadrant_BCE,Quadrant_ALL,switch_sink_status,switch_quadrant
TUV,Tuvalu,Oceania,SIDS,11500.0,60.53815714518229,8607340.538157145,-11439.461842854818,8595840.538157145,8607280.0,33706.84765625,4816434176.0,0.00523797767335139,748.464375439057,748.4591374613836,,,,,,Sink + low debt stress,Source + low debt stress,True,True
KIR,Kiribati,Oceania,SIDS,206997.0,399039.609375,95120747.27604166,192042.609375,94913750.27604166,94721707.66666666,223534336.0,53227233280.0,1.9298499199822086,459.5292773557721,457.5994274357899,,,,,,Source + low debt stress,Source + low debt stress,False,False
FSM,Micronesia,Oceania,SIDS,149498.0,1329924.5208333333,52661574.854166664,1180426.5208333333,52512076.854166664,51331650.33333333,744808192.0,29468608512.0,8.903328697395903,352.26345608885947,343.36012739146355,,,,,,Source + low debt stress,Source + low debt stress,False,False
COK,Cook Islands,Oceania,SIDS,72832.0,22.223875999450684,17440782.55720933,-72809.77612400055,17367950.55720933,17440760.333333332,12373.9619140625,9759388672.0,0.0003036196561083286,239.46592473770818,239.46562111805207,,,,,,Sink + low debt stress,Source + low debt stress,True,True
MHL,Marshall Islands,Oceania,SIDS,153331.0,422009.1276041666,32853939.794270832,268678.1276041666,32700608.794270832,32431930.666666664,236404240.0,18384435200.0,2.755298390658118,214.27113456052422,211.5158361698661,,,,,,Source + low debt stress,Source + low debt stress,False,False
SYC,Seychelles,Africa,SIDS,551015.0,2601.6302490234375,62335934.96358235,-548413.3697509766,61784919.96358235,62333333.33333333,1448553.5,34881495040.0,0.004698015695016411,113.12927769913715,113.12457968344214,,,,,,Sink + low debt stress,Source + low debt stress,True,True
SLB,Solomon Islands,Oceania,SIDS,302829.0,1362861.3854166665,26563659.71875,1060032.3854166665,26260830.71875,25200798.333333332,762245376.0,14863929344.0,4.498219885787649,87.7161405779697,83.21792069218205,398502310.2725,0.25640813733603346,1.9137160446410433,37.300419802131984,35.38670375749094,Source + low debt stress,Source + low debt stress,False,False
SOM,Federal Republic of Somalia,Africa,LDCs,557614.0,23529.3115234375,44023529.31152344,-534084.6884765625,43465915.31152344,44000000.0,13100812.0,24634308608.0,0.04198632764436987,78.94962178741356,78.9076354597692,2282239463.9605,0.24709106172783896,0.005769054793255592,10.793947478560485,10.78817842376723,Sink + low debt stress,Source + low debt stress,True,True
STP,Sao Tome and Principe,Africa,SIDS,166171.0,328.6854248046875,11000328.685424805,-165842.3145751953,10834157.685424805,11000000.0,183007.75,6155484672.0,0.001968147275194047,66.19883794372383,66.19686979644864,342976152.22150004,1.086310050898044,0.0005362572507104114,17.947269859203843,17.94673360195313,Sink + high debt stress,Source + high debt stress,True,True
PLW,Palau,Oceania,SIDS,222330.0,622163.265625,9895980.932291666,399833.265625,9673650.932291666,9273817.666666666,348397600.0,5537774592.0,2.8004023392085857,44.51235290210573,41.711950562897144,,,,,,Source + low debt stress,Source + low debt stress,False,False
TON,Tonga,Oceania,SIDS,199331.0,2962576.6041666665,8006245.270833332,2763245.6041666665,7806914.270833332,5043668.666666666,1659579520.0,4481879552.0,14.878754103182368,40.18173457231453,25.302980469132166,148322391.443,0.31859201532314835,11.176852628697674,30.204999045580013,19.02814641688234,Source + low debt stress,Source + low debt stress,False,False
VUT,Vanuatu,Oceania,SIDS,226164.0,1003490.46875,6298644.802083333,777326.46875,6072480.802083333,5295154.333333333,562108352.0,3525133056.0,4.441604728060502,27.854500992313966,23.41289626425346,355351113.885,0.42201870535093017,1.5802006119368164,9.918502148827441,8.338301536890626,Source + high debt stress,Source + high debt stress,False,False
MDV,Maldives,Asia,SIDS,2062305.0,1926549.3958333333,44581971.729166664,-135755.60416666674,42519666.729166664,42655422.33333333,1079230208.0,24948049920.0,0.9352000971573624,21.618574550751205,20.683374453593842,3020167766.9645,0.5025292785073084,0.3569486430288225,8.260091512157652,7.90314286912883,Sink + high debt stress,Source + high debt stress,True,True
LBR,Liberia,Africa,LDCs,771001.0,123726.30989583333,11123726.309895834,-647274.6901041666,10352725.309895834,11000000.0,68889184.0,6224190976.0,0.1596759263193914,14.426843257159161,14.26716733083977,1568933023.071,0.4370661582505238,0.04412800676912375,3.967368543636603,3.923240536867479,Sink + high debt stress,Source + high debt stress,True,True
GNB,Guinea-Bissau,Africa,SIDS,298003.0,14105424.666666666,17772091.333333332,13807421.666666666,17474088.333333332,3666666.666666666,7895523840.0,9947291648.0,47.34822014155747,59.652350408428376,12.304130266870906,851667801.516,0.5265079363454327,9.267713342629085,11.676830146460157,2.409116803831072,Source + high debt stress,Source + high debt stress,False,False
